lemma,log_ratio,g_squared,p_value,p_value_fdr,register,relative_frequency
ἀργικέραυνος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
βαθύκολπος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
γένεσις,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
τηλεδαπός,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
ζάω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Ἔχετος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀρείφατος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μαλερός,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μανθάνω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Ἐρευθαλίων,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μετατρέπομαι,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μεταλήγω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
βίαιος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πύξ,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
Τυνδάρεος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ὀίω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
νεώτατος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
κακομήχανος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
αἰνόμορος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
σήπω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
αὐτῆμαρ,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Ῥαδάμανθυς,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
σκοπιάζω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
βίος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἴπτομαι,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἴλαος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἱστοπέδη,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
θυμολέων,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
καταλύω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἄναλτος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
κακορραφία,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μοχλός,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
μονόω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
στρουθός,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
στρατόω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
στεῦμαι,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
ἄμπελος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μνηστύς,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μῆκος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἔδω,1.3242685710094637,23.338189120560205,1.3587527165509827e-06,6.646038723455475e-05,Speech,0.0006005949643865955
λαγχάνω,1.3460423705590243,11.820264093188701,0.0005858954917200565,0.00991778424917673,Speech,0.0002721445932376761
τιμάω,1.3460423705590243,11.820264093188701,0.0005858954917200565,0.00991778424917673,Speech,0.0002721445932376761
χρόνος,1.3460423705590243,11.820264093188701,0.0005858954917200565,0.00991778424917673,Speech,0.0002721445932376761
μυθέομαι,1.3460423705590243,22.572651314857985,2.0234462667719836e-06,9.251768175191684e-05,Speech,0.0005630577791124333
αἶσα,1.3540105402082012,10.194712909799756,0.0014084388606052764,0.019456808102253184,Speech,0.0002252231116449733
ἔλδομαι,1.365844997855204,8.58667425475988,0.0033863189587885123,0.03763421585242768,Speech,0.00017830163005227054
