,lemma,log_likelihood,relative_frequency,register,p_value,p_value_fdr
33385,ὤμοι,-81.85240980256378,0.0002893357959905193,Tragic,1.4663802573500995e-19,1.753904782015672e-17
3840,δαίμων,-82.08125479147309,0.0012564307853286934,Tragic,1.306054355896154e-19,1.5676820529336495e-17
7638,καθός,-82.97367569027014,0.00029329930004518397,Tragic,8.315341352393772e-20,1.0124675879035136e-17
3166,γένος,-84.07086305556871,0.000923496444736863,Tragic,4.7735429054159835e-20,5.897067657132321e-18
11810,μόλος,-84.0949415779765,0.00029726280409984857,Tragic,4.7157574568925066e-20,5.8470210314415555e-18
12923,οὔτοι,-84.0949415779765,0.00029726280409984857,Tragic,4.7157574568925066e-20,5.8470210314415555e-18
11837,μόχθος,-85.21620746568283,0.0003012263081545132,Tragic,2.6746056394391723e-20,3.3907388123362e-18
18663,τάφος,-85.70097229433259,0.0005707445838717093,Tragic,2.093099673531364e-20,2.6938909068198914e-18
31859,ὀργή,-86.3374733533892,0.0003051898122091779,Tragic,1.5170644252142162e-20,1.9980978104698836e-18
25137,ἄθλιος,-87.07238747232964,0.0004201314297944527,Tragic,1.0462105344990726e-20,1.3833273586819963e-18
13957,παρθένος,-87.18477942004438,0.000483547494669087,Tragic,9.884153157612416e-21,1.3120341185569517e-18
10879,μήτηρ,-88.10832710926331,0.0030875696585837605,Tragic,6.196621291441818e-21,8.389977363760565e-19
10664,μάτην,-88.58000512880191,0.0003131168203185072,Tragic,4.881989886739253e-21,6.636565288202288e-19
19746,τότος,-88.58000512880191,0.0003131168203185072,Tragic,4.881989886739253e-21,6.636565288202288e-19
1244,Οἰδίπους,-90.82253690421462,0.0003210438284278365,Tragic,1.5715316692023022e-21,2.18908541032217e-19
13112,πέδον,-91.59512688672515,0.00036067886897448294,Tragic,1.0635459777115138e-21,1.506274803328746e-19
10880,μήτης,-91.94380279192097,0.00032500733248250115,Tragic,8.917318626282634e-22,1.2682450343741214e-19
806,Κρέων,-93.06506867962732,0.00032897083653716575,Tragic,5.060301897246529e-22,7.28877271999565e-20
4108,δεῦρος,-93.06506867962732,0.00032897083653716575,Tragic,5.060301897246529e-22,7.28877271999565e-20
10393,λοιπός,-93.06506867962732,0.00032897083653716575,Tragic,5.060301897246529e-22,7.28877271999565e-20
12977,πάθος,-94.18633456733367,0.0003329343405918304,Tragic,2.87176459873533e-22,4.2080675282507436e-20
18849,ταδύς,-94.18633456733367,0.0003329343405918304,Tragic,2.87176459873533e-22,4.2080675282507436e-20
32525,Ὀρέστης,-94.84515815417845,0.0005905621041450325,Tragic,2.0587515281988974e-22,3.083481437079844e-20
