line_urn,heat
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:286,-26.725121372201375
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:287,-36.22191710327228
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:288,-0.5776977063576005
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:289,-29.63436198214808
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:290,-264.05811655484615
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:291,-69.98768505753661
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:291,-261.6428971649474
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:292,-12.333924764769884
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:293,5.478021806788235
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:294,-24.300971023086465
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:295,-1.1212658877063533
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:296,-3.3609453131682563
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:297,13.12386690119325
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:298,-7.752145945656844
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:299,-44.36888487797306
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:300,15.78935295655369
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:301,-85.7722743667951
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:302,6.689404679285729
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:303,-5.045698905762555
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:304,-14.50510487664303
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:305,81.36410336191281
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:306,-57.89956778014014
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:307,-2.543614800787096
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:308,-5.498463171144532
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:309,-8.09789753271663
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:310,-9.896101100388336
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:311,-1.9622153034861178
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:312,-19.553468493634263
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:313,-5.980084734433884
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:314,10.74763315662342
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:315,-7.933885796902217
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:316,-25.145821552453544
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:317,-175.74270231144732
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:318,-5.147531932562492
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:319,166.95940692328756
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:320,-23.000180281496284
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:321,-13.081435356574119
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:322,-177.03519580481108
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:323,-7.618316370452411
